Date,Mantas,Plankton,Boats,Tour,High tide,Low tide
12/19/2024,5,2,1,2,0.87,0.42
12/20/2024,2,2,1,1,1.9,0.17
12/20/2024,1,1,1,2,0.87,0.41
12/21/2024,1,2,1,1,1.72,0.37
12/21/2024,1,2,1,2,0.93,0.37
12/23/2024,2,2,1,1,1.38,0.74
12/23/2024,2,2,1,2,1.38,0.24
12/24/2024,5,2,1,1,1.32,0.81
12/24/2024,5,2,1,2,1.23,0.15
12/25/2024,6,2,1,1,1.55,0.77
12/25/2024,4,2,1,2,1.11,0.06
12/26/2024,4,3,1,1,1.75,0.7
12/28/2024,3,2,2,1,2.08,0.54
12/28/2024,4,3,2,2,0.94,-0.19
12/29/2024,4,3,1,1,2.19,0.49
12/29/2024,4,3,2,2,0.94,-0.26
12/31/2024,5,3,2,1,2.31,0.41
12/31/2024,7,1,2,2,2.31,-0.29
